iter	Passed	Remaining
0	2	2054
1	3	1966
2	5	1876
3	7	1805
4	8	1788
5	10	1757
6	12	1743
7	13	1719
8	15	1694
9	16	1670
10	18	1658
11	19	1643
12	21	1653
13	23	1653
14	25	1648
15	26	1647
16	28	1646
17	30	1639
18	31	1637
19	33	1636
20	34	1626
21	36	1622
22	38	1623
23	39	1614
24	41	1604
25	42	1596
26	44	1589
27	45	1579
28	46	1571
29	48	1562
30	49	1555
31	51	1553
32	53	1553
33	54	1548
34	55	1541
35	57	1533
36	58	1526
37	60	1521
38	61	1515
39	62	1510
40	64	1504
41	65	1499
42	67	1499
43	68	1497
44	70	1495
45	71	1492
46	73	1490
47	75	1489
48	76	1488
49	78	1486
50	79	1483
51	81	1482
52	82	1482
53	84	1483
54	86	1482
55	87	1481
56	89	1478
57	90	1476
58	92	1475
59	94	1474
60	95	1473
61	97	1473
62	99	1475
63	100	1475
64	102	1474
65	104	1473
66	105	1473
67	107	1473
68	109	1472
69	110	1473
70	112	1472
71	114	1473
72	116	1474
73	117	1474
74	119	1472
75	120	1470
76	122	1469
77	124	1468
78	125	1466
79	127	1464
80	129	1466
81	130	1465
82	132	1463
83	134	1461
84	135	1460
85	137	1458
86	138	1456
87	140	1456
88	142	1454
89	143	1454
90	145	1454
91	147	1452
92	148	1450
93	150	1448
94	151	1446
95	153	1445
96	155	1443
97	156	1442
98	158	1441
99	160	1440
100	161	1437
101	163	1436
102	164	1434
103	166	1432
104	167	1430
105	169	1428
106	170	1426
107	172	1424
108	174	1422
109	175	1420
110	177	1419
111	178	1418
112	180	1416
113	182	1415
114	183	1413
115	185	1412
116	186	1410
117	188	1410
118	190	1409
119	192	1409
120	193	1408
121	195	1408
122	197	1406
123	198	1404
124	200	1402
125	201	1400
126	203	1399
127	205	1398
128	207	1397
129	208	1396
130	210	1395
131	211	1393
132	213	1391
133	215	1389
134	216	1388
135	218	1386
136	220	1385
137	221	1384
138	222	1381
139	224	1379
140	226	1377
141	227	1375
142	229	1374
143	230	1372
144	232	1371
145	234	1369
146	235	1367
147	237	1366
148	239	1365
149	240	1363
150	242	1361
151	243	1360
152	245	1358
153	246	1355
154	248	1354
155	250	1352
156	251	1351
157	253	1349
158	254	1348
159	256	1347
160	258	1346
161	259	1344
162	261	1343
163	263	1341
164	264	1340
165	267	1341
166	268	1340
167	270	1339
168	272	1338
169	274	1338
170	275	1337
171	277	1336
172	279	1335
173	281	1336
174	283	1335
175	285	1334
176	286	1333
177	288	1331
178	289	1329
179	291	1326
180	292	1325
181	294	1323
182	295	1321
183	297	1318
184	298	1316
185	300	1313
186	301	1311
187	303	1309
188	304	1306
189	305	1303
190	307	1301
191	308	1299
192	310	1296
193	311	1294
194	313	1292
195	314	1290
196	316	1289
197	317	1287
198	319	1285
199	320	1283
200	322	1281
201	324	1279
202	325	1277
203	327	1276
204	328	1274
205	330	1272
206	331	1271
207	333	1269
208	334	1267
209	336	1265
210	337	1263
211	339	1261
212	340	1259
213	342	1258
214	344	1256
215	345	1254
216	347	1253
217	348	1251
218	350	1249
219	352	1248
220	353	1245
221	354	1243
222	356	1241
223	357	1240
224	359	1238
225	360	1236
226	362	1234
227	363	1232
228	365	1230
229	367	1228
230	368	1226
231	370	1224
232	371	1223
233	373	1221
234	374	1219
235	376	1217
236	377	1215
237	378	1213
238	380	1211
239	382	1209
240	383	1207
241	385	1206
242	386	1204
243	388	1203
244	389	1201
245	391	1199
246	393	1198
247	394	1196
248	396	1194
249	397	1192
250	398	1189
251	400	1187
252	401	1185
253	403	1184
254	404	1182
255	406	1180
256	407	1179
257	409	1177
258	411	1175
259	412	1174
260	414	1172
261	415	1171
262	417	1169
263	419	1168
264	420	1167
265	422	1165
266	423	1163
267	425	1161
268	426	1160
269	428	1158
270	430	1156
271	431	1155
272	432	1152
273	434	1151
274	436	1149
275	437	1147
276	439	1146
277	440	1144
278	441	1142
279	443	1140
280	444	1138
281	446	1136
282	447	1133
283	449	1132
284	450	1130
285	451	1128
286	453	1126
287	454	1123
288	455	1121
289	457	1119
290	458	1117
291	460	1115
292	461	1113
293	462	1111
294	464	1109
295	465	1106
296	466	1104
297	468	1102
298	469	1100
299	470	1098
300	472	1096
301	473	1094
302	474	1091
303	476	1090
304	477	1087
305	479	1086
306	480	1084
307	481	1082
308	483	1080
309	484	1078
310	485	1076
311	487	1074
312	488	1072
313	489	1070
314	491	1068
315	492	1065
316	493	1064
317	495	1062
318	496	1060
319	498	1058
320	499	1056
321	500	1054
322	502	1052
323	503	1050
324	504	1048
325	506	1046
326	507	1044
327	508	1042
328	510	1040
329	511	1038
330	512	1036
331	514	1034
332	515	1032
333	516	1030
334	518	1028
335	519	1026
336	520	1024
337	522	1023
338	523	1021
339	525	1020
340	527	1018
341	528	1017
342	530	1015
343	531	1013
344	533	1012
345	534	1010
346	536	1008
347	537	1007
348	539	1005
349	540	1004
350	542	1002
351	543	1000
352	545	999
353	546	997
354	548	996
355	549	994
356	551	992
357	552	990
358	554	989
359	555	987
360	556	985
361	558	984
362	559	982
363	561	980
364	562	978
365	563	976
366	565	974
367	566	973
368	568	971
369	569	969
370	571	968
371	572	966
372	574	964
373	575	963
374	576	961
375	578	959
376	579	958
377	581	956
378	582	954
379	584	953
380	585	951
381	587	950
382	588	948
383	590	946
384	591	945
385	593	943
386	594	942
387	596	940
388	597	938
389	599	936
390	600	935
391	602	933
392	603	932
393	605	930
394	606	929
395	608	927
396	609	925
397	611	924
398	612	922
399	613	920
400	615	919
401	616	917
402	618	916
403	619	914
404	621	912
405	622	910
406	623	909
407	625	907
408	626	905
409	628	904
410	629	902
411	631	900
412	632	899
413	634	897
414	635	896
415	637	894
416	638	893
417	640	891
418	641	890
419	643	888
420	644	886
421	646	885
422	648	883
423	649	882
424	651	881
425	652	879
426	654	877
427	655	876
428	657	874
429	658	872
430	660	871
431	661	870
432	663	868
433	664	866
434	666	865
435	667	863
436	668	861
437	670	859
438	671	858
439	673	856
440	674	855
441	676	853
442	677	852
443	679	851
444	681	849
445	682	847
446	683	845
447	685	844
448	686	842
449	688	840
450	689	839
451	690	837
452	692	836
453	694	834
454	695	833
455	697	831
456	698	829
457	699	828
458	701	826
459	702	824
460	704	823
461	705	821
462	707	820
463	708	818
464	710	817
465	711	815
466	713	814
467	714	812
468	716	810
469	717	809
470	719	807
471	720	806
472	722	804
473	723	803
474	725	802
475	727	800
476	728	799
477	730	797
478	731	795
479	733	794
480	734	792
481	736	791
482	737	789
483	739	788
484	741	786
485	742	785
486	743	783
487	745	782
488	746	780
489	748	778
490	749	777
491	751	775
492	752	774
493	754	772
494	756	771
495	757	769
496	759	768
497	761	767
498	762	765
499	764	764
500	765	762
501	767	761
502	768	759
503	770	758
504	771	756
505	773	755
506	774	753
507	776	751
508	777	750
509	779	748
510	780	747
511	782	745
512	783	744
513	785	742
514	787	741
515	788	739
516	790	738
517	791	736
518	793	735
519	795	734
520	797	732
521	798	731
522	800	730
523	802	728
524	803	727
525	805	725
526	806	724
527	808	722
528	810	721
529	811	720
530	813	718
531	815	717
532	817	715
533	818	714
534	820	712
535	821	711
536	823	709
537	824	708
538	826	706
539	827	705
540	829	703
541	830	701
542	832	700
543	833	698
544	834	696
545	836	695
546	837	693
547	839	692
548	840	690
549	842	689
550	843	687
551	845	685
552	846	684
553	848	682
554	849	681
555	851	679
556	852	678
557	854	676
558	855	675
559	857	673
560	858	672
561	860	670
562	862	669
563	863	667
564	865	666
565	866	664
566	868	663
567	869	661
568	871	660
569	872	658
570	874	656
571	875	655
572	877	653
573	879	652
574	880	651
575	882	649
576	883	647
577	885	646
578	886	644
579	888	643
580	890	641
581	891	640
582	893	638
583	894	637
584	896	636
585	898	634
586	899	633
587	901	631
588	902	630
589	904	628
590	905	626
591	907	625
592	909	624
593	910	622
594	912	621
595	914	619
596	915	618
597	917	616
598	919	615
599	919	613
600	921	611
601	923	610
602	925	609
603	926	607
604	928	606
605	929	604
606	931	602
607	932	601
608	934	599
609	935	598
610	937	596
611	939	595
612	940	593
613	942	592
614	943	590
615	945	589
616	946	587
617	948	586
618	950	584
619	951	583
620	953	581
621	954	580
622	956	578
623	957	577
624	959	575
625	961	574
626	962	572
627	964	571
628	965	569
629	967	568
630	969	566
631	970	565
632	972	563
633	973	562
634	975	560
635	976	558
636	977	557
637	979	555
638	980	554
639	982	552
640	983	550
641	984	549
642	986	547
643	987	545
644	989	544
645	990	542
646	991	541
647	993	539
648	994	537
649	996	536
650	997	534
651	999	533
652	1000	531
653	1001	529
654	1003	528
655	1004	526
656	1005	525
657	1007	523
658	1008	522
659	1010	520
660	1011	518
661	1013	517
662	1014	515
663	1016	514
664	1018	512
665	1020	511
666	1021	510
667	1023	508
668	1025	507
669	1026	505
670	1028	504
671	1029	502
672	1031	501
673	1033	499
674	1035	498
675	1036	496
676	1038	495
677	1039	493
678	1041	492
679	1042	490
680	1044	489
681	1046	487
682	1048	486
683	1049	484
684	1051	483
685	1052	481
686	1054	480
687	1056	478
688	1057	477
689	1059	475
690	1061	474
691	1062	473
692	1064	471
693	1066	470
694	1067	468
695	1069	467
696	1070	465
697	1072	463
698	1073	462
699	1074	460
700	1076	459
701	1077	457
702	1078	455
703	1080	454
704	1081	452
705	1083	451
706	1084	449
707	1085	447
708	1087	446
709	1088	444
710	1089	442
711	1091	441
712	1092	439
713	1094	438
714	1095	436
715	1096	434
716	1098	433
717	1099	431
718	1100	430
719	1102	428
720	1103	427
721	1104	425
722	1106	423
723	1108	422
724	1109	420
725	1110	419
726	1112	417
727	1113	416
728	1115	414
729	1116	413
730	1118	411
731	1119	409
732	1121	408
733	1123	406
734	1124	405
735	1126	403
736	1127	402
737	1129	400
738	1130	399
739	1132	397
740	1133	396
741	1135	394
742	1136	393
743	1137	391
744	1139	389
745	1140	388
746	1142	386
747	1143	385
748	1145	383
749	1146	382
750	1147	380
